States,01-22-2020,01-23-2020,01-24-2020,01-25-2020,01-26-2020,01-27-2020,01-28-2020,01-29-2020,01-30-2020,01-31-2020,02-01-2020,02-02-2020,02-03-2020,02-04-2020,02-05-2020,02-06-2020,02-07-2020,02-08-2020,02-09-2020,02-10-2020,02-11-2020,02-12-2020,02-13-2020,02-14-2020,02-15-2020,02-16-2020,02-17-2020,02-18-2020,02-19-2020,02-20-2020,02-21-2020,02-22-2020,02-23-2020,02-24-2020,02-25-2020,02-26-2020,02-27-2020,02-28-2020,02-29-2020,03-01-2020,03-02-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,03-07-2020,03-08-2020,03-09-2020,03-10-2020,03-11-2020,03-12-2020,03-13-2020,03-14-2020,03-15-2020,03-16-2020,03-17-2020,03-18-2020,03-19-2020,03-20-2020,03-21-2020,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020
Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,12.0,29.0,39.0,46.0,78.0,83.0,131.0,157.0,196.0,242,381,517,587,694,825,899,987.0,1060.0,1233.0,1495.0,1614.0,1765.0,1952.0,2169.0,2328.0,2703.0,2947.0,3217.0,3563.0,3734.0,3953.0,4075.0,4345.0
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,1.0,1.0,3.0,6.0,9.0,12.0,15.0,20.0,30.0,34,41,56,58,85,102,114,119.0,132.0,143.0,157.0,171.0,185.0,190.0,213.0,226.0,235.0,246.0,257.0,272.0,277.0,285.0,293.0,300.0
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Arizona,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,9.0,9.0,12.0,13.0,18.0,20.0,27.0,45.0,78.0,118.0,152.0,235.0,326,401,508,665,773,919,1157,1289.0,1530.0,1715.0,1937.0,2187.0,2486.0,2732.0,2870.0,3036.0,3018.0,3112.0,3393.0,3542.0,3705.0,3809.0,3964.0,4237.0
Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6.0,6.0,12.0,16.0,22.0,22.0,33.0,62.0,96.0,122.0,165.0,192.0,219,280,335,381,409,426,473,523.0,584.0,643.0,704.0,743.0,837.0,875.0,946.0,1000.0,1119.0,1171.0,1228.0,1280.0,1410.0,1498.0,1569.0,1620.0
California,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,177.0,221.0,282.0,340.0,426.0,557.0,698.0,751.0,952.0,1177.0,1364.0,1646.0,2108.0,2538,2998,3899,4657,5095,5852,7138,8210.0,9399.0,10773.0,12004.0,12837.0,15034.0,16019.0,17351.0,18897.0,19710.0,21081.0,21706.0,22795.0,23931.0,25356.0,26686.0,27677.0
Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,34.0,45.0,49.0,101.0,131.0,160.0,160.0,184.0,277.0,363.0,390.0,591.0,704.0,723,1021,1430,1433,1740,2307,2311,2966.0,2982.0,3342.0,3742.0,4188.0,4950.0,5183.0,5429.0,5655.0,5655.0,6202.0,6513.0,7307.0,7691.0,7950.0,7956.0,8286.0
Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,5.0,11.0,22.0,24.0,30.0,68.0,68.0,159.0,194.0,194.0,327.0,415.0,618,875,1012,1291,1524,1993,2571,3128.0,3557.0,3824.0,4914.0,5276.0,5675.0,6906.0,7781.0,7781.0,9784.0,10538.0,11510.0,12035.0,13381.0,13989.0,14755.0,15884.0
Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,4.0,6.0,7.0,8.0,16.0,19.0,30.0,38.0,45.0,56.0,68.0,104,119,130,163,214,232,264,319.0,368.0,393.0,450.0,593.0,673.0,783.0,928.0,1116.0,1209.0,1326.0,1479.0,1625.0,1758.0,1926.0,2014.0,2070.0
Diamond Princess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,46.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,49.0,49.0,49.0,49.0,49,49,49,49,49,49,49,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,10.0,10.0,10.0,10.0,16.0,22.0,22.0,31.0,40.0,71.0,98.0,204.0,120.0,141,187,231,271,304,342,401,495.0,586.0,653.0,757.0,902.0,1002.0,1097.0,1211.0,1440.0,1523.0,1660.0,1778.0,1875.0,1955.0,2058.0,2197.0,2350.0
Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,28.0,35.0,50.0,76.0,115.0,155.0,216.0,314.0,417.0,563.0,659.0,1004.0,1227.0,1412,1682,2357,2900,3763,4246,5473,6741.0,6956.0,9008.0,10268.0,11537.0,12350.0,13324.0,14545.0,15456.0,16364.0,17531.0,18494.0,19895.0,21019.0,21628.0,22511.0,23343.0
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,23.0,31.0,42.0,66.0,99.0,121.0,146.0,199.0,287.0,420.0,507.0,621.0,772.0,1026,1247,1525,2000,2366,2651,2808,3929.0,4638.0,5348.0,5831.0,6160.0,6647.0,7314.0,8822.0,9901.0,10566.0,11485.0,12159.0,12452.0,13315.0,14578.0,14987.0,15669.0
Grand Princess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,21.0,21.0,21.0,21.0,21.0,20.0,21.0,21.0,22.0,23.0,23.0,30.0,28.0,28,28,28,28,103,103,103,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,5.0,12.0,14.0,15.0,27.0,29.0,32,37,45,51,55,56,58,69.0,77.0,82.0,84.0,93.0,112.0,113.0,121.0,121.0,128.0,130.0,133.0,133.0,133.0,133.0,135.0,135.0
Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,4.0,6.0,7.0,10.0,14.0,16.0,26.0,37.0,53.0,56.0,90,91,95,106,149,149,175,204.0,224.0,256.0,319.0,351.0,371.0,387.0,410.0,410.0,442.0,442.0,465.0,499.0,504.0,511.0,524.0,530.0
Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,2.0,5.0,5.0,8.0,9.0,11.0,23.0,36.0,42.0,68.0,81,91,146,205,234,281,340,515.0,566.0,776.0,891.0,1022.0,1078.0,1101.0,1170.0,1210.0,1232.0,1354.0,1396.0,1407.0,1426.0,1464.0,1473.0,1587.0
Illinois,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,25.0,32.0,46.0,64.0,93.0,105.0,161.0,162.0,422.0,585.0,753.0,1049.0,1285.0,1537,1865,2538,3024,3491,4596,5056,5994.0,6980.0,7695.0,8904.0,10357.0,11259.0,12262.0,12271.0,15078.0,15079.0,17887.0,19180.0,20852.0,22025.0,23248.0,24593.0,25734.0
Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,11.0,13.0,13.0,16.0,20.0,25.0,30.0,39.0,60.0,86.0,128.0,204.0,270.0,368,477,645,979,1233,1513,1786,2158.0,2564.0,3038.0,3437.0,3953.0,4411.0,4956.0,5510.0,5943.0,6351.0,6907.0,7435.0,7928.0,8359.0,8527.0,8960.0,9542.0
Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,13.0,16.0,17.0,17.0,18.0,23.0,23.0,29.0,44.0,45.0,68.0,90.0,105.0,124,146,179,235,298,336,424,497.0,547.0,614.0,699.0,787.0,869.0,946.0,1046.0,1145.0,1270.0,1388.0,1510.0,1587.0,1710.0,1899.0,1995.0,2141.0
Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,5.0,8.0,8.0,11.0,18.0,18.0,34.0,44.0,57.0,65.0,84.0,100,134,172,206,266,330,372,434.0,485.0,553.0,629.0,698.0,751.0,849.0,912.0,1046.0,1116.0,1117.0,1275.0,1344.0,1390.0,1441.0,1504.0,1615.0
Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,10.0,14.0,14.0,20.0,21.0,26.0,27.0,37.0,47.0,87.0,103.0,123.0,162,197,247,301,380,438,479,628.0,632.0,770.0,770.0,917.0,955.0,955.0,1149.0,1149.0,1341.0,1693.0,1693.0,1963.0,2018.0,2048.0,2210.0,2435.0
Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,19.0,36.0,77.0,91.0,136.0,196.0,257.0,392.0,538.0,585.0,837.0,1172.0,1388,1795,2304,2744,3315,3540,4025,5237.0,6424.0,9149.0,10297.0,12496.0,13010.0,14867.0,16284.0,17030.0,18283.0,19253.0,20014.0,20595.0,21016.0,21518.0,21951.0,22532.0
Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,3.0,12.0,17.0,32.0,42.0,52.0,56.0,70.0,89.0,107.0,118,142,155,168,211,253,275,303.0,303.0,376.0,432.0,456.0,470.0,499.0,519.0,537.0,560.0,586.0,616.0,633.0,698.0,735.0,770.0,796.0
Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.0,12.0,18.0,26.0,32.0,41.0,60.0,85.0,107.0,149.0,193.0,244.0,290.0,349,425,583,775,995,1239,1413,1660.0,1986.0,2331.0,2758.0,3125.0,3617.0,4045.0,4371.0,5529.0,6185.0,6968.0,7694.0,8225.0,8936.0,9472.0,10032.0,10784.0
