County,Cases,Deaths,Date,StateCode
Collin,3,,3/11/2020,TX
Dallas,2,,3/11/2020,TX
Fort Bend,6,,3/11/2020,TX
Gregg,1,,3/11/2020,TX
Harris,7,,3/11/2020,TX
Montgomery,1,,3/11/2020,TX
Tarrant,1,,3/11/2020,TX
Collin,3,,3/12/2020,TX
Dallas,3,,3/12/2020,TX
Fort Bend,6,,3/12/2020,TX
Gregg,1,,3/12/2020,TX
Harris,8,,3/12/2020,TX
Montgomery,1,,3/12/2020,TX
Tarrant,1,,3/12/2020,TX
Bell,1,,3/13/2020,TX
Collin,6,,3/13/2020,TX
Dallas,7,,3/13/2020,TX
Fort Bend,6,,3/13/2020,TX
Gregg,1,,3/13/2020,TX
Harris,9,,3/13/2020,TX
Montgomery,3,,3/13/2020,TX
Smith,3,,3/13/2020,TX
Tarrant,1,,3/13/2020,TX
Travis,2,,3/13/2020,TX
Bell,1,,3/14/2020,TX
Bexar,1,,3/14/2020,TX
Brazoria,2,,3/14/2020,TX
Collin,5,,3/14/2020,TX
Dallas,8,,3/14/2020,TX
El Paso,1,,3/14/2020,TX
Fort Bend,9,,3/14/2020,TX
Galveston,1,,3/14/2020,TX
Gregg,1,,3/14/2020,TX
Harris,10,,3/14/2020,TX
Hays,1,,3/14/2020,TX
Lavaca,1,,3/14/2020,TX
Montgomery,3,,3/14/2020,TX
Smith,3,,3/14/2020,TX
Tarrant,3,,3/14/2020,TX
Travis,1,,3/14/2020,TX
Bell,1,,3/15/2020,TX
Bexar,3,,3/15/2020,TX
Brazoria,2,,3/15/2020,TX
Collin,6,,3/15/2020,TX
Dallas,8,,3/15/2020,TX
El Paso,1,,3/15/2020,TX
Fort Bend,9,,3/15/2020,TX
Galveston,1,,3/15/2020,TX
Gregg,1,,3/15/2020,TX
Harris,10,,3/15/2020,TX
Hays,1,,3/15/2020,TX
Lavaca,1,,3/15/2020,TX
Matagorda,1,,3/15/2020,TX
Montgomery,3,,3/15/2020,TX
Smith,4,,3/15/2020,TX
Tarrant,3,,3/15/2020,TX
Travis,1,,3/15/2020,TX
Bell,1,,3/16/2020,TX
Bexar,3,,3/16/2020,TX
Brazoria,2,,3/16/2020,TX
Collin,6,,3/16/2020,TX
Dallas,8,,3/16/2020,TX
El Paso,1,,3/16/2020,TX
Fort Bend,9,,3/16/2020,TX
Galveston,1,,3/16/2020,TX
Gregg,1,,3/16/2020,TX
Harris,10,,3/16/2020,TX
Hays,1,,3/16/2020,TX
Lavaca,1,,3/16/2020,TX
Matagorda,1,,3/16/2020,TX
Montgomery,3,,3/16/2020,TX
Smith,4,,3/16/2020,TX
Tarrant,3,,3/16/2020,TX
Travis,2,,3/16/2020,TX
Bell,1,,3/18/2020,TX
Bexar,4,,3/18/2020,TX
Bowie,1,,3/18/2020,TX
Brazoria,2,,3/18/2020,TX
Brazos,1,,3/18/2020,TX
Collin,6,,3/18/2020,TX
Dallas,15,,3/18/2020,TX
Denton,4,,3/18/2020,TX
El Paso,3,,3/18/2020,TX
Fort Bend,9,,3/18/2020,TX
Galveston,2,,3/18/2020,TX
Gregg,1,,3/18/2020,TX
Harris,10,,3/18/2020,TX
Hays,1,,3/18/2020,TX
Lavaca,1,,3/18/2020,TX
Matagorda,1,,3/18/2020,TX
Medina,1,,3/18/2020,TX
Montgomery,3,,3/18/2020,TX
Rusk,1,,3/18/2020,TX
Smith,5,,3/18/2020,TX
Tarrant,5,,3/18/2020,TX
Travis,4,,3/18/2020,TX
Webb,1,,3/18/2020,TX
Pending County Assignment,1,,3/18/2020,TX
Bell,2,,3/20/2020,TX
Bexar,12,,3/20/2020,TX
Bowie,1,,3/20/2020,TX
Brazoria,3,,3/20/2020,TX
Brazos,2,,3/20/2020,TX
Cameron,1,,3/20/2020,TX
Collin,12,,3/20/2020,TX
Crane,1,,3/20/2020,TX
Dallas,22,,3/20/2020,TX
Denton,6,,3/20/2020,TX
DeWitt,1,,3/20/2020,TX
El Paso,3,,3/20/2020,TX
Ellis,2,,3/20/2020,TX
Fannin,1,,3/20/2020,TX
Fort Bend,11,,3/20/2020,TX
Galveston,4,,3/20/2020,TX
Gregg,1,,3/20/2020,TX
Harris,24,,3/20/2020,TX
Hays,4,,3/20/2020,TX
Hockley,1,,3/20/2020,TX
Johnson,2,,3/20/2020,TX
Lavaca,1,,3/20/2020,TX
Lubbock,1,,3/20/2020,TX
Matagorda,3,,3/20/2020,TX
McLennan,7,,3/20/2020,TX
